expr1,Target name,RA,DEC,Instrument,Observing Mode,Access Status,Processing Level,Start Time,duration
8537646,Cl1449+0856,222.3022817,8.939556861,SPIRE,SpirePhotoLargeScan,TRUE,LEVEL2_PROCESSED,1/4/2013 1:48,13971
8540104,ClG J0717+3745-1,109.3908641,37.75559477,SPIRE,SpireSpectroPoint,TRUE,LEVEL2_PROCESSED,10/6/2012 8:31,12139
8540103,ClG J0717+3745-2,109.3909266,37.75980395,SPIRE,SpireSpectroPoint,TRUE,LEVEL2_PROCESSED,10/6/2012 11:54,12139
8540125,ClG J0717+3745-3,109.3940999,37.75286439,SPIRE,SpireSpectroPoint,TRUE,LEVEL2_PROCESSED,10/7/2012 7:33,12139
8540109,ClG J0717+3745-4,109.3882098,37.75283889,SPIRE,SpireSpectroPoint,TRUE,LEVEL2_PROCESSED,10/7/2012 10:56,12139
8591232,CLJ1226.9+3332,186.7382659,33.54771479,PACS,PacsPhoto,TRUE,LEVEL2_5_PROCESSED,6/1/2011 3:27,7559
8591235,CLJ1226.9+3332,186.7382659,33.54771479,PACS,PacsPhoto,TRUE,LEVEL2_5_PROCESSED,6/1/2011 5:34,7559
8623507,Coma-field-centre-1,194.6761211,27.56248363,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,7/20/2011 21:35,25041
8623508,Coma-field-centre-1,194.6761211,27.56248363,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,7/21/2011 4:34,23583
8624216,Coma-field-centre-1,194.6786813,27.56286674,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,11/26/2011 19:14,25041
8624217,Coma-field-centre-1,194.6786813,27.56286674,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,11/27/2011 2:12,23583
8610753,cosmos_125-1,150.6282393,2.160080997,PACS,PacsPhoto,TRUE,LEVEL2_5_PROCESSED,11/18/2011 4:16,18149
8610754,cosmos_125 cross scan-1,150.6282393,2.160080997,PACS,PacsPhoto,TRUE,LEVEL2_5_PROCESSED,11/18/2011 9:20,18149
8610786,cosmos_269-1,150.2365893,2.681126849,PACS,PacsPhoto,TRUE,LEVEL2_5_PROCESSED,12/4/2011 1:38,20056
8610785,cosmos_269 cross scan-1,150.2365893,2.681126849,PACS,PacsPhoto,TRUE,LEVEL2_5_PROCESSED,12/3/2011 20:03,20056
8597540,cosmos_328-1,150.6685002,1.571973009,PACS,PacsPhoto,TRUE,LEVEL2_5_PROCESSED,11/17/2011 18:09,18149
8597541,cosmos_328 cross scan-1,150.6685002,1.571973009,PACS,PacsPhoto,TRUE,LEVEL2_5_PROCESSED,11/17/2011 23:13,18149
8597250,EN1-240,243.3055207,56.82471963,PACS,PacsPhoto,TRUE,LEVEL2_5_PROCESSED,6/24/2012 22:21,6988
8597251,EN1-240,243.3055207,56.82471963,PACS,PacsPhoto,TRUE,LEVEL2_5_PROCESSED,6/25/2012 0:19,6449
8597492,EN1-349,244.1669855,55.75677717,PACS,PacsPhoto,TRUE,LEVEL2_5_PROCESSED,6/24/2012 6:18,12917
8597494,EN1-349,244.1669855,55.75677717,PACS,PacsPhoto,TRUE,LEVEL2_5_PROCESSED,6/24/2012 9:54,12917
8597945,EN2-111,248.6445903,40.36427897,PACS,PacsPhoto,TRUE,LEVEL2_5_PROCESSED,7/28/2012 17:34,12917
8597947,EN2-111,248.6445903,40.36427897,PACS,PacsPhoto,TRUE,LEVEL2_5_PROCESSED,7/28/2012 21:11,12917
8597950,EN2-119,249.7119456,40.6452785,PACS,PacsPhoto,TRUE,LEVEL2_5_PROCESSED,7/27/2012 17:40,12917
8597951,EN2-119,249.7119456,40.6452785,PACS,PacsPhoto,TRUE,LEVEL2_5_PROCESSED,7/27/2012 21:16,12917
8614159,eso 137-001,243.3529033,-60.76480022,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL3_PROCESSED,10/11/2011 3:05,169
8624857,eso 137-001,243.3659647,-60.76298084,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,3/17/2012 18:28,1668
8624858,eso 137-001,243.3659647,-60.76298084,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,3/17/2012 18:57,1668
8624859,eso 137-001,243.3650062,-60.76242246,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,3/17/2012 19:26,1668
8624860,eso 137-001,243.3650062,-60.76242246,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,3/17/2012 19:55,1668
8614082,eso 137-002,243.3907408,-60.86718722,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL3_PROCESSED,9/22/2011 11:26,169
8631898,eso 137-002,243.4023593,-60.86342659,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,3/16/2012 18:28,1668
8631899,eso 137-002,243.4023593,-60.86342659,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,3/16/2012 18:57,1668
8631900,eso 137-002,243.3996333,-60.86412263,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,3/16/2012 19:25,1668
8631901,eso 137-002,243.3996333,-60.86412263,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,3/16/2012 19:54,1668
8612576,Fornax - NGC1399,54.61806362,-35.45438768,SPIRE,SpirePacsParallel,TRUE,LEVEL3_PROCESSED,3/4/2012 17:56,28997
8612626,Fornax - NGC1399,54.61804696,-35.45426245,SPIRE,SpirePacsParallel,TRUE,LEVEL3_PROCESSED,3/5/2012 3:00,26701
