Name,RA,DEC,z,K0,K100,alpha,Tcl,Lbol,UL??,LHa,UL?,Lrad
ABELL_1569,189.10839583,16.538280555,0.0735,110.1,149.14,0.51,2.51,0.0,?,0.0,<,0.287
ABELL_1576,189.24280833,63.187188888,0.279,186.24,98.35,1.38,8.65,31.6,?,0.0,=,39.4
ABELL_1644,194.29860416,-17.40912777,0.0471,19.03,585.67,1.76,4.6,0.0,=,0.522,=,5.63
ABELL_1650,194.67291249,-1.762311111,0.0843,37.96,159.89,0.84,5.89,4.37,<,0.05,<,0.484
ABELL_1651,194.84512499,-4.196072222,0.084,89.46,115.53,0.97,7.0,6.71,<,0.781,<,0.852
ABELL_1664,195.92759166,-24.24488611,0.1276,14.4,141.84,1.7,3.5,3.15,?,0.0,=,17.1
ABELL_1689,197.87338333,-1.341302777,0.1843,78.44,111.77,1.35,10.1,28.1,<,0.28,<,2.64
ABELL_1736,201.70605416,-27.16336944,0.0338,150.35,127.25,0.99,3.45,3.47,<,0.007,<,0.072
ABELL_1758,203.20165833,50.542369444,0.2792,230.84,144.04,1.21,7.95,21.1,<,10.2,<,6.76
ABELL_1763,203.82482083,40.998833333,0.1866,214.69,70.8,1.37,6.9,9.33,<,4.22,<,2.71
ABELL_1795,207.22000833,26.589875,0.0625,18.99,130.38,1.18,7.8,7.81,=,8.77,=,95.2
ABELL_1835,210.25812916,2.8786611111,0.2532,11.44,111.71,1.26,7.65,39.6,=,504.0,=,84.9
ABELL_1914,216.51274999,37.824400000,0.1712,107.16,131.15,1.05,10.5,26.4,<,3.51,<,2.24
ABELL_1942,219.59115833,3.6702694444,0.224,107.73,194.08,0.66,5.12,2.3,<,6.28,=,1220.0
ABELL_1991,223.63174999,18.644855555,0.0587,1.53,152.21,1.09,5.4,0.451,=,0.596,=,3.25
ABELL_1995,223.23920833,58.049122222,0.3186,374.35,26.81,2.08,8.6,10.3,?,0.0,<,7.29
ABELL_2029,227.73391249,5.744575,0.0765,10.5,163.58,0.95,7.38,15.6,<,0.643,=,82.2
ABELL_2034,227.55207499,33.510991666,0.113,232.64,85.07,1.14,7.15,6.5,<,1.45,<,0.904
ABELL_2052,229.185475,7.0213944444,0.0353,9.45,164.72,1.25,2.98,5.13,=,1.38,=,174.0
ABELL_2063,230.77021249,8.6055999999,0.0351,53.51,129.01,1.07,3.61,4.27,<,0.13,=,0.455
ABELL_2065,230.6229875,27.706369444,0.073,43.95,195.29,1.02,5.35,2.95,<,0.584,<,0.357
ABELL_2069,231.04739999,29.871950000,0.116,453.25,54.57,1.47,7.9,3.86,<,1.54,<,0.957
ABELL_2104,235.03387916,-3.304172222,0.1554,160.61,210.1,1.2,9.31,6.98,<,2.85,<,1.81
ABELL_2107,234.91297083,21.782683333,0.0411,21.24,396.13,0.91,3.82,3.02,<,0.179,<,0.079
ABELL_2111,234.91932083,34.424447222,0.23,107.36,193.98,0.65,8.02,7.51,<,6.65,<,4.34
ABELL_2124,236.24637916,36.109475,0.0658,98.31,260.81,0.9,4.41,0.464,<,0.471,<,0.228
ABELL_2125,235.30897499,66.265888888,0.2465,225.17,32.9,1.35,3.2,0.787,?,0.0,<,4.53
ABELL_2142,239.587,27.228947222,0.0898,68.06,120.57,1.22,8.24,75.9,<,0.898,<,0.553
ABELL_2147,240.5709375,15.974533333,0.0356,151.86,136.19,0.55,4.45,0.726,<,0.134,=,0.41
ABELL_2151,241.14952916,17.721488888,0.0366,0.37,135.18,0.56,2.9,1.41,<,0.141,=,0.059
ABELL_2163,243.94043749,-6.150172222,0.1695,437.98,72.21,1.87,12.12,49.3,?,0.0,<,2.19
ABELL_2187,246.05840833,41.243758333,0.1833,78.63,170.71,0.96,7.3,12.6,?,0.0,?,0.0
ABELL_2199,247.15937083,39.551188888,0.03,13.27,331.46,1.35,4.14,0.808,=,1.42,=,83.2
ABELL_2204,248.19549999,5.5757944444,0.1524,9.74,166.19,1.41,6.97,23.0,?,0.0,=,38.1
ABELL_2218,248.96179583,66.211752777,0.1713,288.56,10.72,2.35,6.7,8.46,<,3.52,<,2.24
ABELL_2219,250.08379999,46.7119,0.2256,411.57,17.01,1.97,9.81,38.3,<,6.37,<,4.15
ABELL_2244,255.67741249,34.060372222,0.0967,57.58,109.07,1.0,5.57,5.54,<,1.05,=,0.803
ABELL_2255,258.17889583,64.069669444,0.0805,529.1,5.78,2.63,6.42,3.7,<,0.715,<,0.439
ABELL_2256,255.93569583,78.636530555,0.0579,349.58,7.05,2.54,6.9,25.7,?,0.0,<,0.22
ABELL_2259,260.03457916,27.669869444,0.164,113.98,60.96,1.36,4.94,5.43,<,3.2,<,2.04
ABELL_2261,260.61355833,32.132944444,0.224,61.08,105.96,1.27,7.58,17.6,<,6.28,<,4.67
ABELL_2294,261.04228749,85.886047222,0.178,156.31,235.74,1.03,7.1,10.4,?,0.0,<,2.44
ABELL_2319,290.29015833,43.955980555,0.0562,270.23,39.42,1.76,9.49,12.7,<,6.45,<,0.206
ABELL_2384,328.08824166,-19.54775,0.0945,38.48,139.21,1.49,3.8,1.98,?,0.0,<,0.616
ABELL_2390,328.40343749,17.695661111,0.2301,14.73,202.92,1.07,9.16,35.6,=,66.3,=,409.0
ABELL_2409,330.21902916,20.968486111,0.1479,73.81,120.76,0.97,5.5,7.08,<,2.57,<,1.62
ABELL_2420,332.5783,-12.170375,0.0846,332.56,64.33,1.12,7.89,0.0,?,0.0,<,0.484
ABELL_2462,339.79736249,-17.34120277,0.0737,129.68,83.2,0.77,2.5,0.0,?,0.0,<,0.289
ABELL_2537,347.09297083,-2.191633333,0.295,110.41,124.72,1.26,6.08,10.2,?,0.0,<,7.68
ABELL_2554,348.08175833,-21.50314444,0.1103,105.09,318.36,0.66,6.4,1.66,?,0.0,<,0.681
ABELL_2556,348.25588749,-21.63457499,0.0862,12.38,115.76,1.13,10.85,1.53,?,0.0,<,0.507
ABELL_2589,350.98881249,16.777341666,0.0415,51.99,109.56,0.61,3.7,0.33,<,0.183,<,0.087
ABELL_2597,351.3324125,-12.12434166,0.0854,10.6,98.88,1.26,3.58,1.47,=,53.8,=,373.0
ABELL_2626,354.12688333,21.146488888,0.0573,23.19,144.08,1.05,2.9,0.661,=,0.596,=,4.68
ABELL_2631,354.41066666,0.2680611111,0.2779,308.81,29.18,1.44,9.6,12.7,<,10.1,<,6.69
ABELL_2657,356.23855416,9.1918722222,0.0402,65.39,153.55,0.91,3.77,4.27,<,0.171,<,0.075
ABELL_2667,357.91414583,-26.08409722,0.23,19.31,93.44,1.31,6.31,20.1,?,0.0,=,33.7
ABELL_2717,0.8040333333,-35.93336944,0.0475,27.05,151.19,0.75,2.56,0.26,?,0.0,<,0.102
ABELL_2744,3.5813708333,-30.39173333,0.308,438.44,46.39,1.41,9.61,29.2,?,0.0,<,8.49
ABELL_2813,10.853670833,-20.62363333,0.2924,267.63,90.43,1.76,8.39,0.0,?,0.0,<,5.97
ABELL_3084,46.016333333,-36.94088055,0.0977,96.74,193.67,1.08,4.56,0.0,?,0.0,<,0.525
ABELL_3088,46.757224999,-28.66540833,0.2534,82.78,216.83,1.71,6.71,38.9,?,0.0,<,4.29
ABELL_3112,49.490337499,-44.2381,0.072,11.4,169.12,1.17,4.28,3.28,=,3.36,=,119.0
ABELL_3120,50.485266666,-51.3265,0.069,17.29,206.17,0.99,4.39,0.0,?,0.0,=,2.71
ABELL_3158,55.7278125,-53.62343333,0.058,166.01,80.92,0.9,5.5,3.45,<,0.029,<,0.237
ABELL_3266,67.805433333,-61.45349722,0.059,72.45,376.73,0.64,8.35,2.77,<,0.022,<,0.246
ABELL_3364,86.907074999,-31.873225,0.1483,268.55,34.53,1.97,6.59,0.0,?,0.0,=,7.87
ABELL_3376,90.548983333,-39.94974166,0.0456,282.95,58.97,1.71,4.08,0.756,?,0.0,<,0.134
ABELL_3391,96.589629166,-53.69578055,0.056,367.52,23.56,1.64,6.07,1.44,?,0.0,<,0.221
ABELL_3395,96.701929166,-54.54978055,0.051,247.2,105.85,1.65,5.13,5.75,?,0.0,<,0.182
ABELL_3528S,193.67040416,-29.22724999,0.053,31.56,270.04,1.17,4.94,0.0,?,0.0,=,61.0
ABELL_3558,201.98689166,-31.49549444,0.048,126.15,132.52,2.11,5.51,1.63,<,0.174,=,0.238
ABELL_3562,203.4075,-31.67001111,0.049,77.42,159.76,0.81,3.8,1.11,<,0.266,<,0.155
ABELL_3571,206.86847499,-32.86456944,0.0391,79.31,191.27,0.82,7.6,1.25,<,0.114,<,0.097
ABELL_3581,211.87407083,-27.0183,0.0218,9.51,138.07,1.22,2.1,1.23,=,21.3,=,6.04
ABELL_3667,303.17179583,-56.84325000,0.0556,160.43,110.56,0.78,6.72,4.25,<,0.199,<,0.226
ABELL_3822,328.51751249,-57.86741944,0.0759,108.66,200.32,0.66,5.45,0.0,?,0.0,<,0.417
ABELL_3827,330.47166666,-59.94528888,0.0984,164.58,94.8,1.34,8.05,0.0,?,0.0,<,0.724
ABELL_3921,342.49095416,-64.42838055,0.0927,101.19,151.49,0.86,5.69,3.37,?,0.0,<,0.637
ABELL_4038,356.92991666,-28.14300277,0.03,37.93,117.86,1.11,3.3,0.821,?,0.0,=,0.622
ABELL_4059,359.25443749,-34.75924444,0.0475,7.06,203.16,0.88,4.69,6.76,=,1.18,=,159.0
ABELL_S0405,57.886729166,-82.21949722,0.0613,16.94,274.22,0.45,4.63,0.0,?,0.0,=,1.27
ABELL_S0592,99.702541666,-53.97397777,0.2216,58.7,195.48,0.99,8.24,0.0,?,0.0,<,4.3
AC_114,344.70131666,-34.80227777,0.312,199.79,69.99,1.5,6.99,11.0,?,0.0,<,6.94
AWM7,43.615129166,41.579741666,0.0172,8.37,227.59,0.8,3.71,4.07,?,0.0,<,0.018
CENTAURUS,192.20527916,-41.31098333,0.0109,2.25,474.86,1.33,3.96,1.74,=,1.5,=,7.38
CID_0072,263.26352916,43.760355555,0.0344,9.45,133.25,0.99,2.88,0.0,=,0.106,=,0.358
CL_J1226.9+3332,186.74322083,33.546488888,0.89,166.03,99.0,1.41,10.4,31.0,?,0.0,=,190.0
CYGNUS_A,299.86825416,40.733883333,0.0561,23.64,210.12,1.57,10.4,2.18,=,21.3,=,63700.0
ESO_3060170,85.0278625,-40.83689444,0.0358,7.98,1400.88,1.8,2.79,0.238,?,0.0,=,0.293
ESO_5520200,73.717991666,-18.1157,0.0314,5.89,121.77,0.67,2.34,0.09,?,0.0,<,0.062
EXO_0422-086,66.463629166,-8.560116666,0.0397,13.77,193.82,1.25,3.28,0.738,<,0.011,=,4.52
HCG_0062,193.27392083,-9.204344444,0.0146,3.44,219.02,1.28,1.1,0.081,=,0.038,=,0.02
HCG_42,150.05930833,-19.636325,0.0133,1.85,126.46,0.87,0.7,0.018,?,0.0,=,0.009
HERCULES_A,252.78400416,4.9923444444,0.1541,9.17,143.89,1.07,4.15,3.48,=,1.3,=,55200.0
HYDRA_A,139.5249375,-12.09553888,0.0549,13.31,114.92,1.03,4.3,2.63,=,9.61,=,2890.0
M49,187.44517083,8.00055,0.0033,0.91,495.33,1.14,1.33,0.0,?,0.0,=,0.046
M87,187.7057625,12.391297222,0.0044,3.53,146.6,0.8,2.5,0.0,=,0.103,=,47.0
MACS_J0011.7-1523,2.9290208333,-15.38910833,0.36,18.83,109.14,1.04,5.42,11.0,?,0.0,=,152.0
MACS_J0035.4-2015,8.8607208333,-20.26279444,0.3644,93.42,76.4,1.26,7.39,19.8,?,0.0,<,12.6
MACS_J0159.8-0849,29.956054166,-8.833583333,0.405,18.79,123.87,1.31,9.59,26.5,?,0.0,=,237.0
MACS_J0242.5-2132,40.649608333,-21.54063888,0.314,10.92,74.59,1.29,6.22,12.9,?,0.0,=,4450.0
MACS_J0257.1-2325,44.288041666,-23.43495833,0.5053,234.47,195.81,1.39,10.5,21.9,?,0.0,<,27.5
MACS_J0257.6-2209,44.420933333,-22.15308888,0.3224,155.91,82.11,1.55,7.4,10.9,?,0.0,<,9.44
MACS_J0308.9+2645,47.233029166,26.76065,0.324,212.76,70.07,1.43,7.37,20.6,?,0.0,<,9.55
MACS_J0329.6-0211,52.423670833,-2.196574999,0.45,11.13,96.68,1.26,6.85,13.0,?,0.0,=,57.4
MACS_J0417.5-1154,64.394525,-11.90908611,0.44,27.08,99.69,1.42,11.3,38.2,?,0.0,=,235.0
MACS_J0429.6-0253,67.400366666,-2.885838888,0.399,17.17,88.87,1.23,6.76,11.7,?,0.0,=,866.0
MACS_J0520.7-1328,80.175216666,-13.48038333,0.3398,88.59,84.92,1.2,6.27,9.63,?,0.0,=,397.0
MACS_J0547.0-3904,86.756591666,-39.07451111,0.21,23.14,121.59,1.2,2.96,1.62,?,0.0,=,44.4
MACS_J0717.5+3745,109.38189166,37.755144444,0.548,220.15,160.08,0.76,10.5,46.9,?,0.0,<,33.5
MACS_J0744.8+3927,116.22000833,39.456780555,0.686,42.38,112.02,1.11,11.29,24.9,?,0.0,<,58.0
MACS_J1115.2+5320,168.81513333,53.334252777,0.439,292.28,27.56,1.73,8.03,14.3,?,0.0,<,19.6
MACS_J1115.8+0129,168.96686666,1.4990444444,0.3521,14.76,107.65,1.31,9.26,1.49,?,0.0,=,6.67
MACS_J1131.8-1955,172.97741666,-19.92903888,0.307,97.26,156.32,1.15,8.3,17.6,?,0.0,<,8.42
MACS_J1149.5+2223,177.39939999,22.398616666,0.544,280.69,33.13,1.47,8.4,2.53,?,0.0,<,2.38
MACS_J1206.2-0847,181.55114999,-8.800666666,0.44,69.04,94.69,1.28,7.88,37.3,?,0.0,=,1270.0
MACS_J1311.0-0310,197.75693749,-3.177638888,0.494,47.36,63.47,1.62,8.0,10.2,?,0.0,<,26.0
